run_id,best_val_mean_mae,mean_test_mae,test_target_0_mae,test_target_1_mae,test_target_2_mae,N,targets,batch_size,lr,alpha_lr,weight_decay,alpha,num_epochs,dims,hops,act_fn,readout_hidden_dims,pooling,apply_readout,learn_alpha,gso_generator,use_bn,dropout_p,patience
O1QN,2.0608988,2.2855911254882812,1.2522974014282227,4.267473220825195,1.3370026350021362,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,25
U2OI,3.158659,3.07116436958313,1.2224100828170776,6.8775553703308105,1.1135286092758179,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,25
4OWK,2.1278017,2.1673057079315186,0.9656039476394653,4.909796237945557,0.6265166401863098,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,25
W7UY,5.893307,5.63416862487793,5.646136283874512,8.03123950958252,3.225130319595337,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,True,adv_diff,True,0.2,25
3C6N,4.571939,5.092319488525391,2.7518815994262695,9.515840530395508,3.0092358589172363,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,True,adv_diff,True,0.2,25
JLOY,3.15015,3.0150301456451416,1.1058987379074097,7.108977794647217,0.8302149176597595,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,True,adv_diff,True,0.2,25
K6P7,1.2055167,1.2873557806015015,0.9229675531387329,2.0829102993011475,0.856189489364624,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,25
9JGV,2.6718245,2.302509069442749,1.0002052783966064,5.235980033874512,0.6713417768478394,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,25
BC68,2.2028856,2.1588919162750244,1.0616278648376465,4.798435688018799,0.6166120171546936,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,25
SS5P,3.2499797,2.749272108078003,1.2879555225372314,5.521472930908203,1.438387393951416,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,True,adv_diff,True,0.2,25
2OB7,2.7132466,2.550077199935913,1.122413992881775,5.575297832489014,0.9525197148323059,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,True,adv_diff,True,0.2,25
XRTO,2.3841033,2.3648016452789307,1.0157732963562012,5.3529052734375,0.7257266640663147,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,True,adv_diff,True,0.2,25
HB1B,1.0393223,1.0409048795700073,0.8751334547996521,1.5463569164276123,0.7012243270874023,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,25
TDWT,2.4046476,2.053309440612793,0.8592615723609924,4.729410648345947,0.571256160736084,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,25
NOMM,2.1165156,2.0889604091644287,0.863661527633667,4.9968743324279785,0.4063453674316406,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,25
03Y9,2.5529583,2.704965829849243,1.1315746307373047,5.6820526123046875,1.3012701272964478,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,True,adv_diff,True,0.2,25
M0W6,2.615419,2.566531181335449,1.0131503343582153,5.865779399871826,0.82066410779953,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,True,adv_diff,True,0.2,25
BNSI,2.6597013,2.8887698650360107,1.010704755783081,6.937498569488525,0.7181065678596497,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,True,adv_diff,True,0.2,25
U1L3,1.1271131,1.1614075899124146,0.8665227293968201,1.8368767499923706,0.780823290348053,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,25
KUQ7,1.946765,1.7655473947525024,0.7430068850517273,4.099344730377197,0.45429110527038574,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,25
GAXA,2.2770612,1.857062816619873,0.8156134486198425,4.379400253295898,0.3761748969554901,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,25
MHZI,3.5273082,3.923809766769409,2.6440718173980713,7.012515068054199,2.114842414855957,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,True,adv_diff,True,0.2,25
HE44,2.7004716,2.45629620552063,1.0613436698913574,5.5079522132873535,0.7995930910110474,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,True,adv_diff,True,0.2,25
DRKS,2.689514,2.367694854736328,1.06570303440094,5.346107482910156,0.6912739276885986,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,True,adv_diff,True,0.2,25
2VJE,1.0847689,1.232505202293396,0.9812905192375183,1.8658771514892578,0.8503477573394775,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,True,hub_laplacian,True,0.2,25
I694,2.1581585,2.2414710521698,0.9574350714683533,5.194069862365723,0.5729082226753235,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,True,hub_laplacian,True,0.2,25
9TT4,2.0084095,2.143069267272949,0.8293802738189697,5.1625189781188965,0.4373081624507904,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,True,hub_laplacian,True,0.2,25
PQK2,2.7369184,2.7329185009002686,1.8845676183700562,4.609218597412109,1.7049691677093506,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,True,adv_diff,True,0.2,25
1AJU,2.821355,2.926626205444336,1.2532474994659424,6.528557777404785,0.9980735182762146,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,True,adv_diff,True,0.2,25
EZG7,2.4828641,2.362772226333618,0.9662827253341675,5.333879470825195,0.7881546020507812,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,True,adv_diff,True,0.2,25
O1VQ,4.563595,4.542247295379639,2.0766992568969727,8.504446983337402,3.0455963611602783,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,25
V434,3.824824,4.886537551879883,2.6081738471984863,9.401467323303223,2.6499712467193604,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,25
RCWO,3.006793,3.0100433826446533,1.0556669235229492,7.1429924964904785,0.8314708471298218,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,25
S3IP,8.067531,8.716259956359863,6.987015724182129,11.676239967346191,7.485526084899902,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,False,adv_diff,True,0.2,25
ZOBY,4.7848372,5.444938659667969,4.052460193634033,9.426874160766602,2.855482339859009,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,False,adv_diff,True,0.2,25
JO7Y,3.2494648,3.619555711746216,1.2990537881851196,8.512971878051758,1.0466415882110596,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-1,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,False,adv_diff,True,0.2,25
ZFUM,1.5471172,1.4388551712036133,1.0042661428451538,2.2803232669830322,1.0319761037826538,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,25
FL5C,2.6412375,2.461663007736206,1.0774122476577759,5.680556774139404,0.6270198225975037,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,25
Q1Z4,2.0748832,1.9687581062316895,0.8530422449111938,4.541676998138428,0.5115553736686707,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,25
Z1LL,2.317538,2.305222511291504,1.108323335647583,4.5224151611328125,1.2849295139312744,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,False,adv_diff,True,0.2,25
B4IS,3.5626538,3.8481569290161133,1.3939775228500366,8.422819137573242,1.7276747226715088,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,False,adv_diff,True,0.2,25
I7WO,2.677865,3.1790897846221924,0.9722832441329956,7.544731140136719,1.0202548503875732,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,-0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,False,adv_diff,True,0.2,25
2KGE,1.2449092,1.2663897275924683,0.9386005997657776,1.9778106212615967,0.8827579021453857,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,25
V4K8,2.1484618,1.8970009088516235,0.8677213191986084,4.26538610458374,0.5578954815864563,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,25
J8UW,1.9830571,2.0578768253326416,0.8451656699180603,4.978195667266846,0.35026952624320984,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,25
US3L,2.5497396,3.170804023742676,1.6117335557937622,6.238955497741699,1.661723017692566,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,False,adv_diff,True,0.2,25
HL7R,2.5152833,2.8359649181365967,1.1431275606155396,6.42864465713501,0.936122477054596,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,False,adv_diff,True,0.2,25
QI2G,2.7535603,2.68587589263916,0.9982008337974548,6.335102081298828,0.7243248820304871,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,False,adv_diff,True,0.2,25
UPPL,1.0729609,1.115929365158081,0.9577299356460571,1.6365771293640137,0.7534811496734619,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,25
OVH7,2.008222,1.826547622680664,0.9187421798706055,4.026315689086914,0.5345852375030518,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,25
5OSR,2.0788336,2.083024501800537,0.9516239762306213,4.821720600128174,0.47572895884513855,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,25
QPOX,3.2004185,2.975414991378784,2.042938470840454,5.045773983001709,1.8375319242477417,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,False,adv_diff,True,0.2,25
22J6,2.767889,2.7372701168060303,1.073867678642273,6.276941776275635,0.8610002398490906,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,False,adv_diff,True,0.2,25
FU4M,2.5919263,2.6958553791046143,1.0376224517822266,6.2480549812316895,0.8018889427185059,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,0.5,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,False,adv_diff,True,0.2,25
9Z3B,1.1488153,1.0732446908950806,0.9329604506492615,1.5689812898635864,0.717792272567749,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,False,hub_laplacian,True,0.2,25
36HP,2.1392703,2.5000479221343994,0.9724247455596924,5.932761192321777,0.5949578285217285,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,False,hub_laplacian,True,0.2,25
NI33,1.8017746,2.0629258155822754,0.8993464112281799,4.851474761962891,0.4379563629627228,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,False,hub_laplacian,True,0.2,25
0H2I,3.0700386,3.0728580951690674,1.7674720287322998,5.742033004760742,1.7090694904327393,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",sum,True,False,adv_diff,True,0.2,25
MQS9,2.882033,2.983928918838501,1.2542245388031006,6.706990718841553,0.9905716776847839,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",max,True,False,adv_diff,True,0.2,25
QVYL,2.438691,2.2389612197875977,0.9834257960319519,5.067849159240723,0.6656087636947632,1200,"[0, 1, 2]",128,0.001,0.01,0.0001,1.0,250,"[11, 128, 128]",2,ReLU,"[64, 32]",mean,True,False,adv_diff,True,0.2,25
